Squad,# Pl,Poss,90s,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,League,Season
Gimnasia–LP,39,50.0,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Godoy Cruz,40,49.4,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Huracán,29,48.3,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Ind. Rivadavia,38,44.6,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Independiente,33,51.0,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Instituto,26,48.3,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Lanús,34,50.1,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Newell's OB,43,51.6,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Platense,35,40.4,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Racing Club,32,55.3,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
River Plate,37,65.8,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Rosario Central,36,51.1,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
San Lorenzo,38,53.4,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Sarmiento,37,37.1,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Talleres,34,55.6,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Tigre,35,52.1,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Unión,28,48.9,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Vélez Sarsfield,33,53.9,27.0,,,,,,,,,,,,,,,,,,,,,Primera Division Argentina,2024
Aldosivi,28,62.2,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Arg Juniors,30,55.2,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Arsenal,34,45.4,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Atlé Tucumán,26,48.3,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Banfield,33,46.9,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Boca Juniors,32,54.7,15.7,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Cen. Córdoba–SdE,27,40.4,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Colón,25,44.5,16.3,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Defensa y Just,39,56.6,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Estudiantes–LP,26,47.2,14.3,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Gimnasia–LP,32,47.1,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Godoy Cruz,26,45.8,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Huracán,27,51.8,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Independiente,27,46.8,15.3,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Lanús,24,53.8,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Newell's OB,31,45.1,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Patronato,29,44.0,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Platense,27,42.8,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Racing Club,31,53.0,16.3,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
River Plate,28,63.3,14.3,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Rosario Central,26,51.5,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
San Lorenzo,31,47.4,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Sarmiento,29,40.7,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Talleres,25,58.4,14.3,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Unión,26,47.4,13.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Vélez Sarsfield,27,57.9,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Aldosivi,26,46.3,15.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Arg Juniors,22,56.6,16.3,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Arsenal,27,43.2,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Atlé Tucumán,29,45.9,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Banfield,29,45.8,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Barracas Central,27,41.6,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Boca Juniors,29,56.4,17.3,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Cen. Córdoba–SdE,28,45.4,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Colón,29,48.0,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Defensa y Just,23,51.7,15.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Estudiantes–LP,31,44.6,15.3,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Gimnasia–LP,24,45.5,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Godoy Cruz,23,50.4,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Huracán,28,51.4,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Independiente,31,54.1,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Lanús,28,54.3,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Newell's OB,28,47.7,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Patronato,26,47.6,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Platense,27,44.1,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Racing Club,25,61.1,16.3,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
River Plate,26,65.0,15.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Rosario Central,25,56.0,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
San Lorenzo,29,48.1,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Sarmiento,27,41.0,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Talleres,30,50.6,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Tigre,23,51.9,17.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Unión,26,47.4,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Vélez Sarsfield,27,53.1,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2022
Arg Juniors,27,61.2,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Arsenal,31,44.9,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Atlé Tucumán,25,46.2,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Banfield,23,40.4,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Barracas Central,28,47.4,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Belgrano,30,47.5,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Boca Juniors,31,61.9,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Cen. Córdoba–SdE,28,48.2,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Colón,25,47.2,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Defensa y Just,32,49.9,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Estudiantes–LP,32,54.6,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Gimnasia–LP,26,44.5,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Godoy Cruz,23,48.4,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Huracán,26,48.8,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Independiente,27,53.9,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Instituto,28,45.3,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Lanús,27,50.5,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Newell's OB,28,53.5,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Platense,25,41.9,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Racing Club,34,61.4,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
River Plate,27,65.0,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Rosario Central,27,45.9,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
San Lorenzo,24,44.1,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Sarmiento,28,43.2,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Talleres,28,56.6,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
