Squad,# Pl,90s,Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,League,Season
River Plate,28,14.3,,,,,,,364,,,,,,,,,Copa de la Liga,2021
Rosario Central,26,13.0,,,,,,,271,,,,,,,,,Copa de la Liga,2021
San Lorenzo,31,13.0,,,,,,,290,,,,,,,,,Copa de la Liga,2021
Sarmiento,29,13.0,,,,,,,246,,,,,,,,,Copa de la Liga,2021
Talleres,25,14.3,,,,,,,255,,,,,,,,,Copa de la Liga,2021
Unión,26,13.0,,,,,,,252,,,,,,,,,Copa de la Liga,2021
Vélez Sarsfield,27,14.0,,,,,,,227,,,,,,,,,Copa de la Liga,2021
Aldosivi,26,15.0,,,,,,,204,,,,,,,,,Copa de la Liga,2022
Arg Juniors,22,16.3,,,,,,,299,,,,,,,,,Copa de la Liga,2022
Arsenal,27,14.0,,,,,,,286,,,,,,,,,Copa de la Liga,2022
Atlé Tucumán,29,14.0,,,,,,,308,,,,,,,,,Copa de la Liga,2022
Banfield,29,14.0,,,,,,,279,,,,,,,,,Copa de la Liga,2022
Barracas Central,27,14.0,,,,,,,237,,,,,,,,,Copa de la Liga,2022
Boca Juniors,29,17.3,,,,,,,329,,,,,,,,,Copa de la Liga,2022
Cen. Córdoba–SdE,28,14.0,,,,,,,231,,,,,,,,,Copa de la Liga,2022
Colón,29,14.0,,,,,,,259,,,,,,,,,Copa de la Liga,2022
Defensa y Just,23,15.0,,,,,,,222,,,,,,,,,Copa de la Liga,2022
Estudiantes–LP,31,15.3,,,,,,,250,,,,,,,,,Copa de la Liga,2022
Gimnasia–LP,24,14.0,,,,,,,246,,,,,,,,,Copa de la Liga,2022
Godoy Cruz,23,14.0,,,,,,,292,,,,,,,,,Copa de la Liga,2022
Huracán,28,14.0,,,,,,,374,,,,,,,,,Copa de la Liga,2022
Independiente,31,14.0,,,,,,,328,,,,,,,,,Copa de la Liga,2022
Lanús,28,14.0,,,,,,,294,,,,,,,,,Copa de la Liga,2022
Newell's OB,28,14.0,,,,,,,279,,,,,,,,,Copa de la Liga,2022
Patronato,26,14.0,,,,,,,353,,,,,,,,,Copa de la Liga,2022
Platense,27,14.0,,,,,,,296,,,,,,,,,Copa de la Liga,2022
Racing Club,25,16.3,,,,,,,317,,,,,,,,,Copa de la Liga,2022
River Plate,26,15.0,,,,,,,282,,,,,,,,,Copa de la Liga,2022
Rosario Central,25,14.0,,,,,,,339,,,,,,,,,Copa de la Liga,2022
