Squad,# Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,League,Season
Atlé Tucumán,25,14.0,,188,,,,,,,,,,,149,,,,Copa de la Liga,2023
Banfield,23,14.0,,163,,,,,,,,,,,158,,,,Copa de la Liga,2023
Barracas Central,28,14.0,,147,,,,,,,,,,,129,,,,Copa de la Liga,2023
Belgrano,30,14.0,,179,,,,,,,,,,,132,,,,Copa de la Liga,2023
Boca Juniors,31,14.0,,143,,,,,,,,,,,90,,,,Copa de la Liga,2023
Cen. Córdoba–SdE,28,14.0,,171,,,,,,,,,,,145,,,,Copa de la Liga,2023
Colón,25,14.0,,152,,,,,,,,,,,142,,,,Copa de la Liga,2023
Defensa y Just,32,14.0,,132,,,,,,,,,,,152,,,,Copa de la Liga,2023
Estudiantes–LP,32,14.0,,166,,,,,,,,,,,132,,,,Copa de la Liga,2023
Gimnasia–LP,26,14.0,,158,,,,,,,,,,,132,,,,Copa de la Liga,2023
Godoy Cruz,23,14.0,,153,,,,,,,,,,,127,,,,Copa de la Liga,2023
Huracán,26,14.0,,154,,,,,,,,,,,146,,,,Copa de la Liga,2023
Independiente,27,14.0,,180,,,,,,,,,,,139,,,,Copa de la Liga,2023
Instituto,28,14.0,,176,,,,,,,,,,,120,,,,Copa de la Liga,2023
Lanús,27,14.0,,163,,,,,,,,,,,149,,,,Copa de la Liga,2023
Newell's OB,28,14.0,,129,,,,,,,,,,,143,,,,Copa de la Liga,2023
Platense,25,14.0,,197,,,,,,,,,,,167,,,,Copa de la Liga,2023
Racing Club,34,14.0,,145,,,,,,,,,,,114,,,,Copa de la Liga,2023
River Plate,27,14.0,,181,,,,,,,,,,,101,,,,Copa de la Liga,2023
Rosario Central,27,14.0,,148,,,,,,,,,,,149,,,,Copa de la Liga,2023
San Lorenzo,24,14.0,,145,,,,,,,,,,,121,,,,Copa de la Liga,2023
Sarmiento,28,14.0,,156,,,,,,,,,,,129,,,,Copa de la Liga,2023
Talleres,28,14.0,,177,,,,,,,,,,,122,,,,Copa de la Liga,2023
Tigre,29,14.0,,141,,,,,,,,,,,112,,,,Copa de la Liga,2023
Unión,23,14.0,,144,,,,,,,,,,,118,,,,Copa de la Liga,2023
Vélez Sarsfield,27,14.0,,161,,,,,,,,,,,150,,,,Copa de la Liga,2023
Arg Juniors,26,14.0,,151,,,,,,,,,,,119,,,,Copa de la Liga,2024
Atlé Tucumán,24,14.0,,172,,,,,,,,,,,142,,,,Copa de la Liga,2024
Banfield,27,14.0,,165,,,,,,,,,,,133,,,,Copa de la Liga,2024
Barracas Central,24,14.0,,153,,,,,,,,,,,116,,,,Copa de la Liga,2024
Belgrano,33,14.0,,158,,,,,,,,,,,112,,,,Copa de la Liga,2024
Boca Juniors,29,14.0,,148,,,,,,,,,,,119,,,,Copa de la Liga,2024
Cen. Córdoba–SdE,31,14.0,,154,,,,,,,,,,,131,,,,Copa de la Liga,2024
Defensa y Just,30,14.0,,147,,,,,,,,,,,134,,,,Copa de la Liga,2024
Deportivo Riestra,30,14.0,,146,,,,,,,,,,,135,,,,Copa de la Liga,2024
Estudiantes–LP,29,14.0,,183,,,,,,,,,,,119,,,,Copa de la Liga,2024
Gimnasia–LP,26,14.0,,167,,,,,,,,,,,123,,,,Copa de la Liga,2024
Godoy Cruz,29,14.0,,165,,,,,,,,,,,114,,,,Copa de la Liga,2024
Huracán,25,14.0,,145,,,,,,,,,,,130,,,,Copa de la Liga,2024
Ind. Rivadavia,34,14.0,,148,,,,,,,,,,,115,,,,Copa de la Liga,2024
Independiente,23,14.0,,155,,,,,,,,,,,141,,,,Copa de la Liga,2024
Instituto,25,14.0,,186,,,,,,,,,,,106,,,,Copa de la Liga,2024
Lanús,23,14.0,,161,,,,,,,,,,,124,,,,Copa de la Liga,2024
Newell's OB,27,14.0,,169,,,,,,,,,,,120,,,,Copa de la Liga,2024
Platense,26,14.0,,199,,,,,,,,,,,121,,,,Copa de la Liga,2024
Racing Club,28,14.0,,163,,,,,,,,,,,106,,,,Copa de la Liga,2024
River Plate,27,14.0,,157,,,,,,,,,,,119,,,,Copa de la Liga,2024
Rosario Central,26,14.0,,164,,,,,,,,,,,128,,,,Copa de la Liga,2024
San Lorenzo,30,14.0,,192,,,,,,,,,,,126,,,,Copa de la Liga,2024
Sarmiento,30,14.0,,149,,,,,,,,,,,128,,,,Copa de la Liga,2024
Talleres,28,14.0,,171,,,,,,,,,,,116,,,,Copa de la Liga,2024
Tigre,28,14.0,,170,,,,,,,,,,,112,,,,Copa de la Liga,2024
Unión,23,14.0,,148,,,,,,,,,,,146,,,,Copa de la Liga,2024
Vélez Sarsfield,26,14.0,,165,,,,,,,,,,,119,,,,Copa de la Liga,2024
