Squad,# Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,League,Season
Talleres,31,27.0,59,3,1,338,321,45,386,227,288,3.0,3.0,2,Primera Division Argentina,2023
Tigre,27,27.0,51,3,2,277,257,34,605,287,298,1.0,1.0,0,Primera Division Argentina,2023
Unión,29,27.0,63,5,0,361,319,31,556,256,350,1.0,4.0,0,Primera Division Argentina,2023
Vélez Sarsfield,27,27.0,61,3,3,340,332,40,453,302,331,1.0,3.0,2,Primera Division Argentina,2023
Arg Juniors,32,27.0,68,6,3,307,313,68,618,254,311,,,1,Primera Division Argentina,2024
Atlé Tucumán,29,27.0,57,3,1,353,244,58,487,229,346,,,1,Primera Division Argentina,2024
Banfield,43,27.0,74,6,4,321,299,53,563,240,368,,,0,Primera Division Argentina,2024
Barracas Central,34,27.0,58,2,2,314,339,30,449,251,304,,,2,Primera Division Argentina,2024
Belgrano,35,27.0,74,4,3,320,254,61,563,253,300,,,1,Primera Division Argentina,2024
Boca Juniors,39,27.0,78,6,4,345,348,37,569,231,319,,,0,Primera Division Argentina,2024
Cen. Córdoba–SdE,44,27.0,58,4,0,334,317,43,407,227,323,,,0,Primera Division Argentina,2024
Defensa y Just,37,27.0,76,6,3,296,291,35,512,256,282,,,2,Primera Division Argentina,2024
Deportivo Riestra,36,27.0,66,5,2,347,276,33,384,251,331,,,0,Primera Division Argentina,2024
Estudiantes–LP,37,27.0,66,1,1,328,283,42,583,280,314,,,2,Primera Division Argentina,2024
Gimnasia–LP,39,27.0,65,7,1,355,253,47,634,298,413,,,0,Primera Division Argentina,2024
Godoy Cruz,40,27.0,59,1,0,343,263,31,511,258,345,,,1,Primera Division Argentina,2024
Huracán,29,27.0,63,3,2,320,335,64,503,269,359,,,0,Primera Division Argentina,2024
Ind. Rivadavia,38,27.0,67,3,1,278,315,54,504,260,325,,,0,Primera Division Argentina,2024
Independiente,33,27.0,90,6,3,332,368,40,466,236,311,,,0,Primera Division Argentina,2024
Instituto,26,27.0,62,4,0,298,308,27,577,223,281,,,1,Primera Division Argentina,2024
Lanús,34,27.0,52,6,1,295,314,41,533,318,305,,,1,Primera Division Argentina,2024
Newell's OB,43,27.0,77,3,1,334,347,40,561,234,304,,,1,Primera Division Argentina,2024
Platense,35,27.0,72,4,1,325,280,21,573,302,394,,,0,Primera Division Argentina,2024
Racing Club,32,27.0,63,2,1,333,280,57,553,239,311,,,1,Primera Division Argentina,2024
River Plate,37,27.0,71,2,1,345,340,52,631,249,338,,,0,Primera Division Argentina,2024
Rosario Central,36,27.0,90,2,2,347,330,56,551,312,339,,,0,Primera Division Argentina,2024
San Lorenzo,38,27.0,57,3,1,292,392,43,526,244,343,,,1,Primera Division Argentina,2024
Sarmiento,37,27.0,65,2,1,367,252,46,443,249,296,,,1,Primera Division Argentina,2024
Talleres,34,27.0,71,4,1,297,289,52,492,242,306,,,1,Primera Division Argentina,2024
Tigre,35,27.0,49,1,1,318,270,48,482,245,311,,,1,Primera Division Argentina,2024
Unión,28,27.0,64,4,2,294,273,40,590,257,322,,,0,Primera Division Argentina,2024
Vélez Sarsfield,33,27.0,56,4,1,289,344,45,503,248,309,,,1,Primera Division Argentina,2024
Aldosivi,28,13.0,30,3,1,165,212,22,212,148,124,1.0,2.0,1,Copa de la Liga,2021
Arg Juniors,30,13.0,36,4,3,196,166,26,253,171,129,2.0,0.0,0,Copa de la Liga,2021
Arsenal,34,13.0,34,2,2,173,138,28,232,147,142,0.0,2.0,0,Copa de la Liga,2021
Atlé Tucumán,26,13.0,42,4,3,215,164,27,250,186,123,0.0,1.0,0,Copa de la Liga,2021
Banfield,33,13.0,26,3,2,164,195,28,278,183,122,0.0,0.0,0,Copa de la Liga,2021
Boca Juniors,32,15.7,46,1,1,215,204,35,256,176,127,1.0,0.0,0,Copa de la Liga,2021
Cen. Córdoba–SdE,27,13.0,32,2,2,185,156,14,208,184,132,0.0,2.0,0,Copa de la Liga,2021
Colón,25,16.3,42,3,2,239,193,47,251,228,189,2.0,2.0,0,Copa de la Liga,2021
Defensa y Just,39,13.0,39,3,2,194,169,37,203,154,111,2.0,2.0,3,Copa de la Liga,2021
Estudiantes–LP,26,14.3,29,2,0,236,167,25,288,194,122,1.0,1.0,0,Copa de la Liga,2021
Gimnasia–LP,32,13.0,29,3,3,163,217,26,231,151,131,2.0,0.0,0,Copa de la Liga,2021
