Squad,# Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att(GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,GoalKicks_Att,GoalKicks_Launch%,GoalKicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,League,Season
Aldosivi,2,13.0,21,2,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Arg Juniors,2,13.0,11,0,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Arsenal,2,13.0,23,1,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Atlé Tucumán,1,13.0,20,1,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Banfield,3,13.0,12,0,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Boca Juniors,3,15.7,13,0,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Cen. Córdoba–SdE,2,13.0,17,2,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Colón,1,16.3,11,2,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Defensa y Just,2,13.0,21,2,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Estudiantes–LP,2,14.3,10,1,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Gimnasia–LP,3,13.0,20,0,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Godoy Cruz,2,13.0,24,2,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Huracán,2,13.0,17,0,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Independiente,2,15.3,12,3,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Lanús,1,13.0,18,1,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Newell's OB,1,13.0,21,1,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Patronato,1,13.0,17,3,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Platense,1,13.0,19,2,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
Racing Club,3,16.3,15,0,,,,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2021
