Squad,# Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,League,Season
Cen. Córdoba–SdE,44,27.0,,,,,,,,,,,,,,,21,,,,,,Primera Division Argentina,2024
Defensa y Just,37,27.0,,,,,,,,,,,,,,,21,,,,,,Primera Division Argentina,2024
Deportivo Riestra,36,27.0,,,,,,,,,,,,,,,14,,,,,,Primera Division Argentina,2024
Estudiantes–LP,37,27.0,,,,,,,,,,,,,,,23,,,,,,Primera Division Argentina,2024
Gimnasia–LP,39,27.0,,,,,,,,,,,,,,,13,,,,,,Primera Division Argentina,2024
Godoy Cruz,40,27.0,,,,,,,,,,,,,,,18,,,,,,Primera Division Argentina,2024
Huracán,29,27.0,,,,,,,,,,,,,,,15,,,,,,Primera Division Argentina,2024
Ind. Rivadavia,38,27.0,,,,,,,,,,,,,,,19,,,,,,Primera Division Argentina,2024
Independiente,33,27.0,,,,,,,,,,,,,,,16,,,,,,Primera Division Argentina,2024
Instituto,26,27.0,,,,,,,,,,,,,,,24,,,,,,Primera Division Argentina,2024
Lanús,34,27.0,,,,,,,,,,,,,,,22,,,,,,Primera Division Argentina,2024
Newell's OB,43,27.0,,,,,,,,,,,,,,,13,,,,,,Primera Division Argentina,2024
Platense,35,27.0,,,,,,,,,,,,,,,12,,,,,,Primera Division Argentina,2024
Racing Club,32,27.0,,,,,,,,,,,,,,,21,,,,,,Primera Division Argentina,2024
River Plate,37,27.0,,,,,,,,,,,,,,,22,,,,,,Primera Division Argentina,2024
Rosario Central,36,27.0,,,,,,,,,,,,,,,20,,,,,,Primera Division Argentina,2024
San Lorenzo,38,27.0,,,,,,,,,,,,,,,9,,,,,,Primera Division Argentina,2024
Sarmiento,37,27.0,,,,,,,,,,,,,,,13,,,,,,Primera Division Argentina,2024
Talleres,34,27.0,,,,,,,,,,,,,,,27,,,,,,Primera Division Argentina,2024
Tigre,35,27.0,,,,,,,,,,,,,,,20,,,,,,Primera Division Argentina,2024
Unión,28,27.0,,,,,,,,,,,,,,,16,,,,,,Primera Division Argentina,2024
Vélez Sarsfield,33,27.0,,,,,,,,,,,,,,,23,,,,,,Primera Division Argentina,2024
Aldosivi,28,13.0,,,,,,,,,,,,,,,8,,,,,,Copa de la Liga,2021
Arg Juniors,30,13.0,,,,,,,,,,,,,,,7,,,,,,Copa de la Liga,2021
Arsenal,34,13.0,,,,,,,,,,,,,,,9,,,,,,Copa de la Liga,2021
Atlé Tucumán,26,13.0,,,,,,,,,,,,,,,17,,,,,,Copa de la Liga,2021
Banfield,33,13.0,,,,,,,,,,,,,,,11,,,,,,Copa de la Liga,2021
Boca Juniors,32,15.7,,,,,,,,,,,,,,,16,,,,,,Copa de la Liga,2021
Cen. Córdoba–SdE,27,13.0,,,,,,,,,,,,,,,7,,,,,,Copa de la Liga,2021
Colón,25,16.3,,,,,,,,,,,,,,,17,,,,,,Copa de la Liga,2021
Defensa y Just,39,13.0,,,,,,,,,,,,,,,10,,,,,,Copa de la Liga,2021
Estudiantes–LP,26,14.3,,,,,,,,,,,,,,,12,,,,,,Copa de la Liga,2021
Gimnasia–LP,32,13.0,,,,,,,,,,,,,,,13,,,,,,Copa de la Liga,2021
Godoy Cruz,26,13.0,,,,,,,,,,,,,,,15,,,,,,Copa de la Liga,2021
Huracán,27,13.0,,,,,,,,,,,,,,,9,,,,,,Copa de la Liga,2021
Independiente,27,15.3,,,,,,,,,,,,,,,13,,,,,,Copa de la Liga,2021
Lanús,24,13.0,,,,,,,,,,,,,,,10,,,,,,Copa de la Liga,2021
Newell's OB,31,13.0,,,,,,,,,,,,,,,9,,,,,,Copa de la Liga,2021
Patronato,29,13.0,,,,,,,,,,,,,,,11,,,,,,Copa de la Liga,2021
Platense,27,13.0,,,,,,,,,,,,,,,9,,,,,,Copa de la Liga,2021
Racing Club,31,16.3,,,,,,,,,,,,,,,10,,,,,,Copa de la Liga,2021
River Plate,28,14.3,,,,,,,,,,,,,,,20,,,,,,Copa de la Liga,2021
Rosario Central,26,13.0,,,,,,,,,,,,,,,6,,,,,,Copa de la Liga,2021
San Lorenzo,31,13.0,,,,,,,,,,,,,,,11,,,,,,Copa de la Liga,2021
Sarmiento,29,13.0,,,,,,,,,,,,,,,7,,,,,,Copa de la Liga,2021
Talleres,25,14.3,,,,,,,,,,,,,,,10,,,,,,Copa de la Liga,2021
Unión,26,13.0,,,,,,,,,,,,,,,5,,,,,,Copa de la Liga,2021
Vélez Sarsfield,27,14.0,,,,,,,,,,,,,,,16,,,,,,Copa de la Liga,2021
Aldosivi,26,15.0,,,,,,,,,,,,,,,11,,,,,,Copa de la Liga,2022
Arg Juniors,22,16.3,,,,,,,,,,,,,,,14,,,,,,Copa de la Liga,2022
Arsenal,27,14.0,,,,,,,,,,,,,,,13,,,,,,Copa de la Liga,2022
Atlé Tucumán,29,14.0,,,,,,,,,,,,,,,7,,,,,,Copa de la Liga,2022
Banfield,29,14.0,,,,,,,,,,,,,,,8,,,,,,Copa de la Liga,2022
Barracas Central,27,14.0,,,,,,,,,,,,,,,12,,,,,,Copa de la Liga,2022
Boca Juniors,29,17.3,,,,,,,,,,,,,,,18,,,,,,Copa de la Liga,2022
Cen. Córdoba–SdE,28,14.0,,,,,,,,,,,,,,,10,,,,,,Copa de la Liga,2022
Colón,29,14.0,,,,,,,,,,,,,,,8,,,,,,Copa de la Liga,2022
Defensa y Just,23,15.0,,,,,,,,,,,,,,,20,,,,,,Copa de la Liga,2022
Estudiantes–LP,31,15.3,,,,,,,,,,,,,,,19,,,,,,Copa de la Liga,2022
Gimnasia–LP,24,14.0,,,,,,,,,,,,,,,9,,,,,,Copa de la Liga,2022
Godoy Cruz,23,14.0,,,,,,,,,,,,,,,16,,,,,,Copa de la Liga,2022
Huracán,28,14.0,,,,,,,,,,,,,,,11,,,,,,Copa de la Liga,2022
Independiente,31,14.0,,,,,,,,,,,,,,,12,,,,,,Copa de la Liga,2022
Lanús,28,14.0,,,,,,,,,,,,,,,13,,,,,,Copa de la Liga,2022
Newell's OB,28,14.0,,,,,,,,,,,,,,,13,,,,,,Copa de la Liga,2022
Patronato,26,14.0,,,,,,,,,,,,,,,4,,,,,,Copa de la Liga,2022
Platense,27,14.0,,,,,,,,,,,,,,,9,,,,,,Copa de la Liga,2022
