id,teamId,team_name,rank,type,stat_name,value,sub_value,League,Season
10101,10101,Talleres,2,teams,expected_goals_team,43.8,42,Argentina Primera Division,2023
10086,10086,Argentinos Juniors,3,teams,expected_goals_team,40.4,31,Argentina Primera Division,2023
10082,10082,Lanus,4,teams,expected_goals_team,37.4,38,Argentina Primera Division,2023
161730,161730,Defensa y Justicia,5,teams,expected_goals_team,36.5,36,Argentina Primera Division,2023
89396,89396,Tigre,6,teams,expected_goals_team,35.3,27,Argentina Primera Division,2023
10094,10094,Estudiantes,7,teams,expected_goals_team,34.1,35,Argentina Primera Division,2023
10090,10090,Instituto,8,teams,expected_goals_team,33.3,24,Argentina Primera Division,2023
10084,10084,Rosario Central,9,teams,expected_goals_team,33.0,36,Argentina Primera Division,2023
10227,10227,Godoy Cruz,10,teams,expected_goals_team,31.7,37,Argentina Primera Division,2023
10077,10077,Boca Juniors,11,teams,expected_goals_team,31.1,33,Argentina Primera Division,2023
10080,10080,Racing Club,12,teams,expected_goals_team,30.5,36,Argentina Primera Division,2023
10078,10078,Independiente,13,teams,expected_goals_team,30.2,23,Argentina Primera Division,2023
10087,10087,Banfield,14,teams,expected_goals_team,29.7,21,Argentina Primera Division,2023
10103,10103,Gimnasia LP,15,teams,expected_goals_team,28.9,24,Argentina Primera Division,2023
10083,10083,San Lorenzo,16,teams,expected_goals_team,28.3,23,Argentina Primera Division,2023
161727,161727,Atletico Tucuman,17,teams,expected_goals_team,28.0,25,Argentina Primera Division,2023
202757,202757,Sarmiento,18,teams,expected_goals_team,26.8,23,Argentina Primera Division,2023
10088,10088,Colon,19,teams,expected_goals_team,26.2,20,Argentina Primera Division,2023
10081,10081,Huracan,20,teams,expected_goals_team,26.0,18,Argentina Primera Division,2023
213596,213596,Central Cordoba de Santiago,21,teams,expected_goals_team,25.6,20,Argentina Primera Division,2023
10201,10201,Newell's Old Boys,22,teams,expected_goals_team,25.5,24,Argentina Primera Division,2023
10092,10092,Belgrano,23,teams,expected_goals_team,24.8,20,Argentina Primera Division,2023
10079,10079,Velez Sarsfield,24,teams,expected_goals_team,24.2,24,Argentina Primera Division,2023
10098,10098,Arsenal Sarandi,25,teams,expected_goals_team,24.1,18,Argentina Primera Division,2023
10089,10089,Club Atletico Platense,26,teams,expected_goals_team,22.9,26,Argentina Primera Division,2023
213534,213534,Barracas Central,27,teams,expected_goals_team,22.6,25,Argentina Primera Division,2023
10096,10096,Union,28,teams,expected_goals_team,22.5,19,Argentina Primera Division,2023
