id,teamId,team_name,rank,type,stat_name,value,sub_value,League,Season
10079,10079,Velez Sarsfield,26,teams,expected_goals_conceded_team,22.7,16,Argentina Primera Division,2024
10078,10078,Independiente,27,teams,expected_goals_conceded_team,22.6,17,Argentina Primera Division,2024
10089,10089,Club Atletico Platense,28,teams,expected_goals_conceded_team,21.9,18,Argentina Primera Division,2024
10088,10088,Colon,1,teams,expected_goals_conceded_team,37.2,33,Argentina Primera Division,2023
213596,213596,Central Cordoba de Santiago,2,teams,expected_goals_conceded_team,37.1,30,Argentina Primera Division,2023
10098,10098,Arsenal Sarandi,3,teams,expected_goals_conceded_team,35.6,34,Argentina Primera Division,2023
10227,10227,Godoy Cruz,4,teams,expected_goals_conceded_team,35.3,32,Argentina Primera Division,2023
10080,10080,Racing Club,5,teams,expected_goals_conceded_team,35.2,35,Argentina Primera Division,2023
202757,202757,Sarmiento,6,teams,expected_goals_conceded_team,34.7,26,Argentina Primera Division,2023
10084,10084,Rosario Central,7,teams,expected_goals_conceded_team,34.5,29,Argentina Primera Division,2023
161727,161727,Atletico Tucuman,8,teams,expected_goals_conceded_team,34.1,27,Argentina Primera Division,2023
10089,10089,Club Atletico Platense,9,teams,expected_goals_conceded_team,33.6,29,Argentina Primera Division,2023
10103,10103,Gimnasia LP,10,teams,expected_goals_conceded_team,33.5,38,Argentina Primera Division,2023
161730,161730,Defensa y Justicia,11,teams,expected_goals_conceded_team,33.0,23,Argentina Primera Division,2023
10092,10092,Belgrano,12,teams,expected_goals_conceded_team,32.2,26,Argentina Primera Division,2023
10078,10078,Independiente,13,teams,expected_goals_conceded_team,31.2,32,Argentina Primera Division,2023
89396,89396,Tigre,14,teams,expected_goals_conceded_team,30.6,29,Argentina Primera Division,2023
10090,10090,Instituto,15,teams,expected_goals_conceded_team,30.0,35,Argentina Primera Division,2023
10096,10096,Union,16,teams,expected_goals_conceded_team,29.2,25,Argentina Primera Division,2023
10077,10077,Boca Juniors,17,teams,expected_goals_conceded_team,29.1,24,Argentina Primera Division,2023
10087,10087,Banfield,18,teams,expected_goals_conceded_team,28.9,32,Argentina Primera Division,2023
213534,213534,Barracas Central,19,teams,expected_goals_conceded_team,28.7,30,Argentina Primera Division,2023
10082,10082,Lanus,20,teams,expected_goals_conceded_team,28.3,27,Argentina Primera Division,2023
10101,10101,Talleres,21,teams,expected_goals_conceded_team,27.8,23,Argentina Primera Division,2023
10201,10201,Newell's Old Boys,22,teams,expected_goals_conceded_team,26.7,24,Argentina Primera Division,2023
10086,10086,Argentinos Juniors,23,teams,expected_goals_conceded_team,26.3,22,Argentina Primera Division,2023
10079,10079,Velez Sarsfield,24,teams,expected_goals_conceded_team,26.1,27,Argentina Primera Division,2023
10081,10081,Huracan,25,teams,expected_goals_conceded_team,25.6,29,Argentina Primera Division,2023
10094,10094,Estudiantes,26,teams,expected_goals_conceded_team,23.7,24,Argentina Primera Division,2023
10076,10076,River Plate,27,teams,expected_goals_conceded_team,22.1,20,Argentina Primera Division,2023
10083,10083,San Lorenzo,28,teams,expected_goals_conceded_team,21.0,13,Argentina Primera Division,2023
